iteration,populationCount,mutationRate,crossOverRate,parentTournamentSize,migrationTournamentSize,offspringCount,islandCount,migrationTournamentSize,islandCount,migrationCount,migrationInterval
0,101,7.965429868602331,0.18343478986616382,78,60,788,46,60,46,3370,1430
1,684,5.632882178455394,0.3854165025399162,10,157,2076,61,157,61,56991,1734
2,200,0.15636406741193934,0.42340148070636974,78,58,214,71,58,71,15804,6060
3,204,5.632755719763837,0.6955160864261276,28,123,2452,94,123,94,12217,6948
4,697,5.581020020173413,0.4038361710580409,45,176,2174,72,176,72,10322,9977
5,941,2.2024104756554834,0.7111495324380179,761,328,1466,40,328,40,48720,8377
6,306,5.806866214364548,0.37228276656174314,287,297,1132,49,297,49,13722,9945
7,748,0.43603771754433757,0.9945505107973412,351,209,43742,95,209,95,24740,5528
8,72,6.115137108656806,0.08159418040024037,1,45,178,40,45,40,366,8866
9,252,7.145951041799522,0.041067516767875796,100,109,7754,19,109,19,2038,4284
10,949,8.069129770507796,0.34630432108940085,440,616,1186,89,616,89,24759,154
11,497,6.5572263538074225,0.38539662096556515,338,169,1652,70,169,70,17312,9367
12,494,8.4714314409559,0.3549051904627207,472,334,4558,9,334,9,4530,6025
13,351,8.63138521989004,0.880359968638417,83,318,5360,71,318,71,16907,3780
14,295,2.529901679892412,0.6954111231066477,22,49,802,100,49,100,20559,3843
15,412,9.191765518355599,0.08274842003530615,361,227,882,78,227,78,19791,9853
16,832,0.4689646779121993,0.2686724820253074,18,414,7458,31,414,31,67923,9680
17,210,7.689177413153977,0.06623597785186587,9,130,1042,58,130,58,7173,5373
18,868,6.877847170960831,0.5116570135472613,136,327,880,9,327,9,51844,9863
19,737,4.739699414305562,0.3551043032793048,478,353,10862,56,353,56,43228,5645
20,536,9.750671629451427,0.4907487792587846,387,439,14660,48,439,48,44948,2052
21,991,1.0669925011343608,0.8507274600164549,739,404,72770,21,404,21,37582,9265
22,694,2.290253909247964,0.542849310613409,299,230,20066,18,230,18,60977,4955
23,424,5.990293647773266,0.8267988278090785,406,145,1210,30,145,30,26074,9119
24,604,6.078943937942588,0.37930569838554895,449,124,22732,12,124,12,25036,8635
25,860,0.0,0.5918882817528269,193,163,860,42,163,42,51687,8995
26,946,7.409224549442602,0.34532613252804933,575,706,946,96,706,96,16673,382
27,673,4.987714184264193,0.6896771867922331,673,336,1630,37,336,37,39583,8318
28,968,1.94641617940706,0.6961578033301359,774,324,1318,41,324,41,49752,8622
29,647,4.175024028005209,0.3682914106241225,458,335,648,100,335,100,0,2557
30,672,0.0,0.542651967990286,633,530,672,53,530,53,36652,9261
31,376,1.2824594973325099,0.35951866726014736,372,26,1722,93,26,93,20495,5040
32,922,0.0,0.7124281699571572,567,56,922,19,56,19,59635,8550
33,539,0.47404609568285677,0.3493921626153134,289,508,540,98,508,98,1879,2996
34,626,1.9144034402129617,0.3716166589567512,227,528,626,99,528,99,8883,2231
35,1000,4.44748664392915,0.6643250633229991,634,13,1000,14,13,14,12356,10000
36,1000,0.026846291900912866,0.6680701080647017,258,1,1000,3,1,3,38899,10000
37,313,0.5628201656281193,0.6990038181581394,290,18,314,1,18,1,3853,1
38,989,4.855248926228582,0.6605844288704359,874,873,98900,1,873,1,51284,10000
39,827,0.0,0.7981260319489514,52,1,828,1,1,1,0,10000
40,941,0.0,0.8430806452772793,1,1,942,1,1,1,0,10000
41,546,2.8405054018233225,0.7970421885056346,33,248,546,1,248,1,36530,10000
42,337,0.8416993128261898,0.7971374154397947,19,19,338,1,19,1,0,10000
43,517,0.1416848292943568,0.7992335933118914,36,80,518,1,80,1,14406,10000
44,677,9.106919218922602,0.7921645603337468,25,53,678,1,53,1,10982,10000
45,67,0.04759170577178955,0.7946339539894243,1,36,158,1,36,1,2607,10000
46,766,0.34227335878687437,0.7956662319886375,114,719,766,1,719,1,31490,7483
47,536,6.650269922643693,0.7972889373893316,1,3,536,19,3,19,32736,10000
48,524,2.666241941475953,0.6693141904346663,129,9,37390,10,9,10,28460,2862
49,763,5.2313042218615795,0.795442045288737,113,346,1038,1,346,1,13908,10000
50,926,9.27250621312948,0.7969930047014664,50,220,15784,1,220,1,2054,1518
51,495,2.5231247009959517,0.6644916673412838,1,183,496,7,183,7,12563,10000
52,908,4.588478279976625,0.796438385127652,45,762,21898,1,762,1,73873,9427
53,404,0.7392277849232789,0.6664305775681527,81,176,404,2,176,2,6882,828
54,533,1.936992656968045,0.7967288813596624,9,454,656,1,454,1,7661,9989
55,856,1.816532599418862,0.6711379367752237,229,792,856,1,792,1,62688,4170
56,479,4.677281067955627,0.7963623549023789,1,183,506,1,183,1,45061,4161
57,642,6.999924656807099,0.6655483301096631,119,90,642,2,90,2,23106,2238
58,687,1.8331335617325173,0.7939555425973379,1,540,902,1,540,1,35383,9644
59,28,0.38778909232446235,0.7987768024248425,1,25,36,1,25,1,1732,4516
60,178,2.797329625765272,0.6648063446218087,53,154,1076,2,154,2,4944,2240
